細學類,細學類名稱,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生
01111,綜合教育細學類,人文社會學院教育經營碩士在職專班,N 職,M 碩士,55,15,40,3,12,2,19,4,3,2,4,3,1,1,1,-,-,-,-
01111,綜合教育細學類,人文社會學院教育經營碩士班,D 日,M 碩士,28,3,25,1,7,-,9,2,4,-,2,-,1,-,2,-,-,-,-
01111,綜合教育細學類,文教事業經營研究所,D 日,M 碩士,21,4,17,1,9,2,6,1,1,-,1,-,-,-,-,-,-,-,-
01111,綜合教育細學類,文教事業經營研究所,N 職,M 碩士,63,14,49,5,24,3,17,3,6,2,1,1,1,-,-,-,-,-,-
01111,綜合教育細學類,文教事業經營碩士在職學位學程,N 職,M 碩士,19,2,17,-,-,-,6,2,4,-,1,-,5,-,1,-,-,-,-
01111,綜合教育細學類,竹師教育學院學士班,D 日,B 學士,132,57,75,25,27,11,19,12,17,9,12,-,-,-,-,-,-,-,-
01111,綜合教育細學類,師範學院教學專業國際碩士學位學程,D 日,M 碩士,10,2,8,-,2,2,6,-,-,-,-,-,-,-,-,-,-,-,-
01111,綜合教育細學類,國際文教管理人才博士學位學程,D 日,D 博士,4,1,3,-,-,-,-,1,1,-,2,-,-,-,-,-,-,-,-
01111,綜合教育細學類,國際文教與比較教育學系,D 日,D 博士,33,12,21,1,4,2,3,3,5,-,1,1,4,2,1,3,3,-,-
01111,綜合教育細學類,國際文教與比較教育學系,D 日,M 碩士,20,3,17,1,7,-,1,-,6,2,3,-,-,-,-,-,-,-,-
01111,綜合教育細學類,國際文教與比較教育學系,D 日,B 學士,195,30,165,7,39,8,35,6,41,6,43,-,-,-,-,-,-,3,7
01111,綜合教育細學類,教育心理與輔導學系,D 日,M 碩士,125,33,92,8,31,9,18,6,17,10,25,-,1,-,-,-,-,-,-
01111,綜合教育細學類,教育心理與輔導學系,D 日,B 學士,181,51,130,8,31,13,31,14,30,12,34,-,-,-,-,-,-,4,4
01111,綜合教育細學類,教育心理與輔導學系,N 職,M 碩士,2,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
01111,綜合教育細學類,教育心理與輔導學系社區諮商與教育碩士在職專班,N 職,M 碩士,80,13,67,3,20,3,17,3,9,3,11,1,10,-,-,-,-,-,-
01111,綜合教育細學類,教育研究所,D 日,D 博士,137,59,78,11,15,14,10,9,18,4,14,8,4,7,9,6,8,-,-
01111,綜合教育細學類,教育研究所,D 日,M 碩士,463,149,314,44,116,37,94,39,55,27,42,1,2,1,4,-,1,-,-
01111,綜合教育細學類,教育研究所,N 職,M 碩士,563,113,450,40,152,27,177,16,50,15,40,7,24,7,7,1,-,-,-
01111,綜合教育細學類,教育研究所中等學校教師在職進修教學碩士學位班,N 職,M 碩士,3,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-
01111,綜合教育細學類,教育研究所教育創新與人力發展碩士在職專班,N 職,M 碩士,65,20,45,5,9,5,9,4,8,4,9,1,7,1,3,-,-,-,-
01111,綜合教育細學類,教育研究所教育與學校行政碩士學位班,N 職,M 碩士,3,1,2,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-
01111,綜合教育細學類,教育研究所教育學回流碩士在職專班,N 職,M 碩士,53,13,40,4,11,2,14,4,11,1,4,2,-,-,-,-,-,-,-
01111,綜合教育細學類,教育專業發展研究所,D 日,M 碩士,19,3,16,-,-,-,7,1,6,2,3,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育專業發展研究所,N 職,M 碩士,23,4,19,1,6,2,4,-,2,-,2,1,2,-,3,-,-,-,-
01111,綜合教育細學類,教育與人類發展研究全英語博士學位學程,D 日,D 博士,19,7,12,2,5,4,5,1,2,-,-,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育與人類發展研究全英語碩士學位學程,D 日,M 碩士,5,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育與潛能開發學系,D 日,B 學士,196,61,135,19,31,22,26,10,38,9,33,-,-,-,-,-,-,1,7
01111,綜合教育細學類,教育與潛能開發學系多元文化教育博士班,D 日,D 博士,25,9,16,-,2,1,2,-,4,3,4,2,2,1,1,2,1,-,-
01111,綜合教育細學類,教育與潛能開發學系多元文化教育碩士班,D 日,M 碩士,30,10,20,2,5,2,3,3,3,2,4,1,2,-,3,-,-,-,-
01111,綜合教育細學類,教育與潛能開發學系科學教育博士班,D 日,D 博士,19,13,6,1,1,1,1,2,-,2,-,1,1,2,2,4,1,-,-
01111,綜合教育細學類,教育與潛能開發學系科學教育碩士班,D 日,M 碩士,28,15,13,5,2,1,5,2,5,6,1,1,-,-,-,-,-,-,-
01111,綜合教育細學類,教育與潛能開發學系教育博士班,D 日,D 博士,105,48,57,6,16,9,11,10,10,8,6,6,6,4,5,5,3,-,-
01111,綜合教育細學類,教育與潛能開發學系教育碩士在職專班,N 職,M 碩士,89,23,66,7,20,9,14,7,14,-,6,-,6,-,6,-,-,-,-
01111,綜合教育細學類,教育與潛能開發學系教育碩士班,D 日,M 碩士,36,15,21,3,7,1,7,8,2,2,4,1,1,-,-,-,-,-,-
01111,綜合教育細學類,教育與學習科技學系,D 日,D 博士,64,24,40,3,8,5,3,2,12,3,5,2,1,3,4,6,7,-,-
01111,綜合教育細學類,教育與學習科技學系,D 日,M 碩士,139,24,115,7,38,6,30,4,19,5,16,2,3,-,9,-,-,-,-
01111,綜合教育細學類,教育與學習科技學系馬來西亞境外碩士在職專班,N 職,M 碩士,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
01111,綜合教育細學類,教育與學習科技學系教育行政碩士在職專班,N 職,M 碩士,72,14,58,4,16,1,23,5,11,1,2,-,2,1,2,2,2,-,-
01111,綜合教育細學類,教育與學習科技學系課程與教學碩士在職專班,N 職,M 碩士,134,20,114,5,36,9,33,4,22,2,11,-,6,-,4,-,2,-,-
01111,綜合教育細學類,教育學系,D 日,D 博士,489,180,309,36,40,27,45,14,49,31,39,19,42,26,39,27,55,-,-
01111,綜合教育細學類,教育學系,D 日,M 碩士,283,70,213,19,71,22,71,13,34,10,28,-,5,5,3,1,1,-,-
01111,綜合教育細學類,教育學系,D 日,B 學士,"2,346",750,"1,596",193,383,194,367,171,384,149,394,-,-,-,-,-,-,43,68
01111,綜合教育細學類,教育學系生命教育碩士在職專班,N 職,M 碩士,149,15,134,9,43,5,39,-,23,1,22,-,3,-,4,-,-,-,-
01111,綜合教育細學類,教育學系生命教育碩士班,D 日,M 碩士,46,7,39,2,12,-,13,4,6,-,6,1,2,-,-,-,-,-,-
01111,綜合教育細學類,教育學系教育行政碩士在職專班,N 職,M 碩士,38,11,27,5,9,3,10,2,2,1,3,-,3,-,-,-,-,-,-
01111,綜合教育細學類,教育學系教育行政碩士在職專班(夜間班),N 職,M 碩士,62,27,35,9,14,12,10,4,5,2,3,-,1,-,2,-,-,-,-
01111,綜合教育細學類,教育學系教育行政碩士學位在職進修專班,N 職,M 碩士,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
01111,綜合教育細學類,教育學系教育行政與政策發展碩士在職專班,N 職,M 碩士,50,6,44,1,18,2,17,-,5,3,4,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育學系教育行政與政策發展碩士班,D 日,M 碩士,30,6,24,2,8,2,5,1,7,1,4,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育學系教育行政與管理碩士在職專班,N 職,M 碩士,46,14,32,3,11,3,12,3,1,3,5,2,3,-,-,-,-,-,-
01111,綜合教育細學類,教育學系教育研究博士班,D 日,D 博士,17,11,6,2,1,3,1,2,-,3,-,-,-,-,1,1,3,-,-
01111,綜合教育細學類,教育學系教育研究碩士在職專班,N 職,M 碩士,119,24,95,7,27,12,20,1,25,4,23,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育學系教育研究碩士班,D 日,M 碩士,78,25,53,7,15,11,16,4,14,3,6,-,2,-,-,-,-,-,-
01111,綜合教育細學類,教育學系教育創新與評鑑碩士在職專班,N 職,M 碩士,57,6,51,-,24,5,18,1,4,-,3,-,1,-,1,-,-,-,-
01111,綜合教育細學類,教育學系教育創新與評鑑碩士班,D 日,M 碩士,46,10,36,2,9,4,11,2,10,2,5,-,1,-,-,-,-,-,-
01111,綜合教育細學類,教育學系教育經營與管理博士班,D 日,D 博士,55,20,35,2,5,5,3,4,5,-,6,2,5,2,4,5,7,-,-
01111,綜合教育細學類,教育學系教育經營與管理碩士班,D 日,M 碩士,37,11,26,3,12,4,4,1,5,3,3,-,-,-,2,-,-,-,-
01111,綜合教育細學類,教育學系教育管理與課程教學領導碩士在職專班,N 職,M 碩士,20,3,17,1,16,-,-,1,1,-,-,-,-,1,-,-,-,-,-
01111,綜合教育細學類,教育學系教育領導與政策碩士在職專班,N 職,M 碩士,74,17,57,4,16,3,27,7,6,-,4,2,4,1,-,-,-,-,-
01111,綜合教育細學類,教育學系教育數位評量與數據分析碩士班,D 日,M 碩士,15,5,10,2,7,1,2,1,-,1,1,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育學系教學科技碩士班,D 日,M 碩士,21,7,14,1,5,3,4,3,3,-,2,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育學系測驗統計博士班,D 日,D 博士,17,12,5,2,-,-,1,2,1,3,-,3,1,1,1,1,1,-,-
01111,綜合教育細學類,教育學系數理教育碩士在職專班,N 職,M 碩士,28,17,11,6,5,7,2,2,3,2,1,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育學系數理教育碩士班,D 日,M 碩士,51,30,21,9,8,7,6,7,3,7,4,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育學系課程與教學教學碩士班,N 職,M 碩士,57,5,52,-,19,4,18,-,7,1,5,-,3,-,-,-,-,-,-
01111,綜合教育細學類,教育學系課程與教學博士班,D 日,D 博士,35,5,30,1,7,1,2,-,6,-,6,1,3,-,3,2,3,-,-
01111,綜合教育細學類,教育學系課程與教學碩士在職專班,N 職,M 碩士,135,20,115,9,39,5,34,2,26,3,9,1,4,-,3,-,-,-,-
01111,綜合教育細學類,教育學系課程與教學碩士在職專班(澎湖班),N 職,M 碩士,12,2,10,-,-,1,4,-,1,1,4,-,-,-,1,-,-,-,-
01111,綜合教育細學類,教育學系課程與教學碩士班,D 日,M 碩士,108,23,85,6,26,8,27,5,11,1,18,1,2,2,1,-,-,-,-
01111,綜合教育細學類,教育學系課程與教學碩士班(夜間班),N 職,M 碩士,41,2,39,-,14,-,8,2,10,-,-,-,5,-,2,-,-,-,-
01111,綜合教育細學類,教育學系課程與教學領導碩士在職專班,N 職,M 碩士,24,7,17,-,-,7,15,-,-,-,1,-,-,-,1,-,-,-,-
01111,綜合教育細學類,教育學系學校行政教師碩士在職專班,N 職,M 碩士,6,4,2,-,-,-,-,-,-,1,-,-,-,3,2,-,-,-,-
01111,綜合教育細學類,教育學系學校行政碩士在職專班(暑期班),N 職,M 碩士,5,3,2,-,-,-,-,1,-,-,-,2,1,-,-,-,1,-,-
01111,綜合教育細學類,教育學系學校行政領導碩士班,N 職,M 碩士,14,4,10,-,-,1,6,-,-,1,-,-,2,2,2,-,-,-,-
01111,綜合教育細學類,教育學系學校經營與管理教學碩士班,N 職,M 碩士,4,1,3,-,-,-,-,-,-,1,2,-,1,-,-,-,-,-,-
01111,綜合教育細學類,教育學系諮商心理碩士在職專班,N 職,M 碩士,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
01111,綜合教育細學類,教育學研究所教育學博士班,D 日,D 博士,28,19,9,2,3,4,-,5,-,3,3,2,-,2,1,1,2,-,-
01111,綜合教育細學類,教育學研究所教育學碩士在職專班,N 職,M 碩士,89,13,76,4,27,3,21,5,19,-,5,1,4,-,-,-,-,-,-
01111,綜合教育細學類,教育學研究所教育學碩士班,D 日,M 碩士,25,12,13,2,5,5,3,1,1,3,3,1,1,-,-,-,-,-,-
01111,綜合教育細學類,教育學研究所課程博士班,D 日,D 博士,28,14,14,2,1,1,3,2,2,1,1,4,-,2,2,2,5,-,-
01111,綜合教育細學類,教育學研究所課程與教學碩士班,D 日,M 碩士,25,13,12,5,4,3,2,5,4,-,1,-,1,-,-,-,-,-,-
01111,綜合教育細學類,教育學院學士班,D 日,B 學士,48,18,30,13,16,5,14,-,-,-,-,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教師專業發展研究所,D 日,M 碩士,34,6,28,2,9,2,7,-,4,2,8,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教師專業碩士學位學程,D 日,M 碩士,116,37,79,13,30,17,30,7,19,-,-,-,-,-,-,-,-,-,-
01111,綜合教育細學類,運動與健康現役軍人營區碩士在職專班,N 職,M 碩士,6,6,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-
01111,綜合教育細學類,諮商心理與人力資源發展學系,D 日,B 學士,203,60,143,12,35,12,34,18,28,13,38,-,-,-,-,-,-,5,8
01111,綜合教育細學類,諮商心理與人力資源發展學系終身學習與人力資源發展碩士班,D 日,M 碩士,51,6,45,3,17,2,11,1,9,-,5,-,2,-,1,-,-,-,-
01111,綜合教育細學類,諮商心理與人力資源發展學系輔導與諮商碩士班,D 日,M 碩士,88,23,65,4,21,5,17,5,13,9,10,-,3,-,1,-,-,-,-
01112,成人教育細學類,人力資源與數位學習科技研究所,D 日,M 碩士,2,1,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
01112,成人教育細學類,成人及繼續教育學系,D 日,D 博士,35,11,24,4,4,2,3,2,5,3,2,-,5,-,4,-,1,-,-
01112,成人教育細學類,成人及繼續教育學系,D 日,M 碩士,41,4,37,1,15,2,7,-,12,1,3,-,-,-,-,-,-,-,-
01112,成人教育細學類,成人及繼續教育學系,D 日,B 學士,112,32,80,5,23,10,17,7,18,9,19,-,-,-,-,-,-,1,3
01112,成人教育細學類,成人及繼續教育學系,N 職,M 碩士,102,11,91,3,26,4,24,2,24,2,8,-,9,-,-,-,-,-,-
01112,成人教育細學類,成人及繼續教育學系高齡者教育碩士班,D 日,M 碩士,39,7,32,2,13,5,7,-,7,-,5,-,-,-,-,-,-,-,-
01112,成人教育細學類,成人教育研究所,D 日,D 博士,60,30,30,6,4,4,8,6,4,3,3,6,5,2,4,3,2,-,-
01112,成人教育細學類,成人教育研究所,D 日,M 碩士,57,9,48,2,15,2,11,4,14,1,7,-,1,-,-,-,-,-,-
01112,成人教育細學類,成人教育研究所組織發展與領導碩士在職專班(夜間班),N 職,M 碩士,63,36,27,12,18,21,8,-,-,1,-,2,-,-,1,-,-,-,-
01112,成人教育細學類,終身學習與人力資源發展碩士學位學程,N 職,M 碩士,65,15,50,2,14,4,12,4,3,2,5,2,10,1,6,-,-,-,-
01113,特殊教育細學類,特殊教育學系,D 日,D 博士,76,30,46,5,8,7,7,3,9,4,7,5,8,3,4,3,3,-,-
01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,611,111,500,32,164,28,124,22,109,22,77,7,16,-,10,-,-,-,-
01113,特殊教育細學類,特殊教育學系,D 日,B 學士,"2,360",508,"1,852",130,465,116,455,128,440,104,458,-,-,-,-,-,-,30,34
01113,特殊教育細學類,特殊教育學系,N 職,M 碩士,387,47,340,14,116,16,111,4,48,6,37,5,19,2,9,-,-,-,-
01113,特殊教育細學類,特殊教育學系早期療育碩士班,D 日,M 碩士,25,-,25,-,7,-,9,-,4,-,4,-,1,-,-,-,-,-,-
01113,特殊教育細學類,特殊教育學系身心障礙特教教學碩士在職專班,N 職,M 碩士,2,1,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
01113,特殊教育細學類,特殊教育學系身心障礙與輔助科技碩士班,D 日,M 碩士,24,1,23,1,5,-,7,-,4,-,6,-,1,-,-,-,-,-,-
01113,特殊教育細學類,特殊教育學系特殊教育教學碩士班,N 職,M 碩士,22,5,17,-,-,1,6,2,-,-,6,1,2,1,3,-,-,-,-
01113,特殊教育細學類,特殊教育學系特殊教育博士班,D 日,D 博士,31,16,15,2,2,3,2,2,2,1,3,3,1,-,2,5,3,-,-
01113,特殊教育細學類,特殊教育學系特殊教育碩士在職專班,N 職,M 碩士,79,12,67,3,10,4,12,2,14,3,14,-,17,-,-,-,-,-,-
01113,特殊教育細學類,特殊教育學系特殊教育碩士班,D 日,M 碩士,28,7,21,3,6,1,4,2,4,-,5,1,1,-,1,-,-,-,-
01113,特殊教育細學類,特殊教育學系特教教學碩士學位班,N 職,M 碩士,11,2,9,-,-,-,-,-,-,-,-,1,1,1,8,-,-,-,-
01113,特殊教育細學類,特殊教育學系特教教學碩士學位班(夜間班),N 職,M 碩士,2,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
01113,特殊教育細學類,特殊教育學系教學碩士學位班,N 職,M 碩士,3,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-
01113,特殊教育細學類,特殊教育學系資賦優異教育碩士班,D 日,M 碩士,20,8,12,1,4,2,3,1,3,3,2,1,-,-,-,-,-,-,-
01113,特殊教育細學類,特殊教育學系輔助科技碩士班,D 日,M 碩士,20,5,15,2,5,1,4,-,3,2,3,-,-,-,-,-,-,-,-
01113,特殊教育細學類,特殊教育學系聽力學與語言治療碩士班,D 日,M 碩士,57,10,47,5,14,-,13,1,11,2,8,2,1,-,-,-,-,-,-
01113,特殊教育細學類,學前特殊教育碩士在職學位學程,N 職,M 碩士,21,1,20,-,-,-,-,1,10,-,5,-,5,-,-,-,-,-,-
01114,教育行政細學類,高等教育經營管理碩士學位學程,D 日,M 碩士,23,7,16,2,6,2,4,2,2,1,4,-,-,-,-,-,-,-,-
01114,教育行政細學類,高階教育經營與行政管理馬來西亞境外碩士在職專班,N 職,M 碩士,29,13,16,-,-,11,14,-,-,-,-,2,2,-,-,-,-,-,-
01114,教育行政細學類,教育行政研究所,D 日,D 博士,47,24,23,4,6,7,3,3,5,3,4,2,3,3,1,2,1,-,-
01114,教育行政細學類,教育行政研究所,D 日,M 碩士,21,6,15,3,7,2,5,1,2,-,1,-,-,-,-,-,-,-,-
01114,教育行政細學類,教育行政研究所教育行政碩士在職專班,N 職,M 碩士,29,5,24,-,8,1,10,2,4,1,-,1,2,-,-,-,-,-,-
01114,教育行政細學類,教育行政與政策研究所,D 日,M 碩士,49,17,32,6,10,5,10,5,8,1,4,-,-,-,-,-,-,-,-
01114,教育行政細學類,教育行政與評鑑研究所,D 日,D 博士,49,19,30,1,6,3,5,4,3,3,4,3,2,2,1,3,9,-,-
01114,教育行政細學類,教育行政與評鑑研究所,D 日,M 碩士,42,8,34,4,12,2,7,2,7,-,6,-,2,-,-,-,-,-,-
01114,教育行政細學類,教育行政與評鑑研究所,N 職,M 碩士,95,26,69,8,23,4,22,7,11,3,9,2,2,2,2,-,-,-,-
01114,教育行政細學類,教育行政與管理學系,D 日,M 碩士,26,10,16,3,6,3,3,2,6,2,-,-,1,-,-,-,-,-,-
01114,教育行政細學類,教育行政與管理學系,D 日,B 學士,164,57,107,11,30,13,30,15,22,16,22,-,-,-,-,-,-,2,3
01114,教育行政細學類,教育行政與管理學系,N 職,M 碩士,87,27,60,8,22,7,20,7,11,4,5,-,1,1,1,-,-,-,-
01114,教育行政細學類,教育政策與行政研究所,D 日,M 碩士,52,16,36,6,11,5,10,2,10,3,5,-,-,-,-,-,-,-,-
01114,教育行政細學類,教育政策與行政學系,D 日,D 博士,65,27,38,2,10,6,5,6,7,5,6,4,3,2,3,2,4,-,-
01114,教育行政細學類,教育政策與行政學系,D 日,M 碩士,49,14,35,1,13,4,9,4,3,2,6,3,3,-,1,-,-,-,-
01114,教育行政細學類,教育政策與行政學系,D 日,B 學士,168,54,114,12,28,16,24,13,29,10,32,-,-,-,-,-,-,3,1
01114,教育行政細學類,教育經營與管理學系,D 日,B 學士,170,37,133,8,38,14,25,8,33,6,35,-,-,-,-,-,-,1,2
01114,教育行政細學類,教育經營與管理學系文教法律碩士班,D 日,M 碩士,58,29,29,5,7,3,7,6,2,10,5,5,6,-,-,-,2,-,-
01114,教育行政細學類,教育經營與管理學系原住民文教法律碩士在職專班,N 職,M 碩士,12,5,7,-,3,1,3,4,1,-,-,-,-,-,-,-,-,-,-
01114,教育行政細學類,教育經營與管理學系校務經營碩士在職專班,N 職,M 碩士,55,10,45,2,19,5,10,2,6,-,8,-,1,1,1,-,-,-,-
01114,教育行政細學類,教育經營與管理學系教育政策與管理博士班,D 日,D 博士,82,46,36,5,6,5,5,8,5,4,8,4,3,8,3,12,6,-,-
01114,教育行政細學類,教育經營與管理學系教育政策與管理碩士班,D 日,M 碩士,67,28,39,10,11,6,10,4,8,7,8,-,-,1,1,-,1,-,-
01114,教育行政細學類,教育經營與管理學系教育領導與管理碩士在職專班,N 職,M 碩士,26,4,22,1,7,3,8,-,4,-,1,-,2,-,-,-,-,-,-
01114,教育行政細學類,教育經營與管理學系學校行政碩士學位班,N 職,M 碩士,3,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-
01114,教育行政細學類,教育與未來設計學系前瞻教育領導與科技管理博士班,D 日,D 博士,3,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01114,教育行政細學類,教育領導與科技發展學士學位學程,D 日,B 學士,129,42,87,7,27,13,24,11,19,8,16,-,-,-,-,-,-,3,1
01114,教育行政細學類,教育領導與發展研究所,D 日,M 碩士,30,7,23,-,10,3,6,1,4,3,1,-,2,-,-,-,-,-,-
01114,教育行政細學類,教育領導與發展研究所,N 職,M 碩士,81,12,69,4,19,5,16,2,12,1,10,-,9,-,3,-,-,-,-
01114,教育行政細學類,教育領導與管理發展國際博士學位學程,D 日,D 博士,5,2,3,-,-,-,1,1,1,1,-,-,1,-,-,-,-,-,-
01114,教育行政細學類,教育領導與管理發展國際碩士學位學程,D 日,M 碩士,15,7,8,1,-,4,6,2,1,-,1,-,-,-,-,-,-,-,-
01114,教育行政細學類,教育學院教育領導與科技管理博士班,D 日,D 博士,31,12,19,1,1,2,2,2,3,-,-,4,6,3,4,-,3,-,-
01114,教育行政細學類,學校行政碩士在職專班,N 職,M 碩士,79,29,50,9,16,8,10,4,15,4,6,4,3,-,-,-,-,-,-
01115,課程與教學細學類,STEM教育國際碩士學位學程,D 日,M 碩士,3,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01115,課程與教學細學類,科學教育研究所,D 日,D 博士,31,15,16,3,3,3,1,-,5,2,1,3,2,-,1,4,3,-,-
01115,課程與教學細學類,科學教育研究所,D 日,M 碩士,61,35,26,11,12,10,5,9,6,5,3,-,-,-,-,-,-,-,-
01115,課程與教學細學類,教育與未來設計學系,N 職,M 碩士,5,3,2,-,-,-,-,1,-,-,-,2,2,-,-,-,-,-,-
01115,課程與教學細學類,教育與未來設計學系課程與教學碩士在職專班,N 職,M 碩士,29,15,14,3,5,5,4,2,3,-,-,4,2,1,-,-,-,-,-
01115,課程與教學細學類,教育學系課程與教學碩士在職專班,N 職,M 碩士,49,10,39,4,11,3,12,-,8,3,6,-,2,-,-,-,-,-,-
01115,課程與教學細學類,教育學系課程與教學碩士學位班,N 職,M 碩士,2,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
01115,課程與教學細學類,華德福教育碩士在職學位學程,N 職,M 碩士,30,4,26,3,11,-,-,1,15,-,-,-,-,-,-,-,-,-,-
01115,課程與教學細學類,課程教學與科技研究所,D 日,M 碩士,24,8,16,3,4,1,5,1,4,3,1,-,2,-,-,-,-,-,-
01115,課程與教學細學類,課程與教學研究所,D 日,D 博士,37,10,27,2,4,3,3,2,5,-,4,1,5,-,6,2,-,-,-
01115,課程與教學細學類,課程與教學研究所,D 日,M 碩士,69,16,53,6,18,6,15,2,16,2,4,-,-,-,-,-,-,-,-
01115,課程與教學細學類,課程與教學研究所,N 職,M 碩士,16,6,10,2,6,1,1,1,3,2,-,-,-,-,-,-,-,-,-
01115,課程與教學細學類,課程與教學傳播科技研究所,D 日,D 博士,40,12,28,1,4,1,4,2,2,-,3,4,2,-,3,4,10,-,-
01115,課程與教學細學類,課程與教學傳播科技研究所教育傳播與科技碩士在職專班,N 職,M 碩士,38,7,31,-,-,2,6,2,11,2,9,-,1,1,4,-,-,-,-
01115,課程與教學細學類,課程與教學傳播科技研究所教育傳播與科技碩士班,D 日,M 碩士,44,7,37,2,11,-,14,4,6,1,5,-,1,-,-,-,-,-,-
01115,課程與教學細學類,課程與教學傳播科技研究所教學碩士學位班(夜間班),N 職,M 碩士,5,-,5,-,-,-,-,-,-,-,2,-,-,-,3,-,-,-,-
01115,課程與教學細學類,課程與教學傳播科技研究所課程教學與學習科技碩士在職專班,N 職,M 碩士,19,4,15,4,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01115,課程與教學細學類,課程與教學傳播科技研究所課程與教學碩士在職專班,N 職,M 碩士,21,4,17,-,1,1,7,-,3,2,6,1,-,-,-,-,-,-,-
01115,課程與教學細學類,課程與教學傳播科技研究所課程與教學碩士班,D 日,M 碩士,62,13,49,2,15,5,13,3,3,3,13,-,3,-,2,-,-,-,-
01115,課程與教學細學類,學習與教學研究所,D 日,D 博士,19,3,16,1,3,-,3,-,2,-,3,-,5,1,-,1,-,-,-
01115,課程與教學細學類,學習與教學研究所,D 日,M 碩士,31,8,23,3,5,1,10,1,4,3,3,-,1,-,-,-,-,-,-
01115,課程與教學細學類,學習與教學國際碩士學位學程,D 日,M 碩士,15,5,10,4,5,-,4,1,-,-,-,-,1,-,-,-,-,-,-
01115,課程與教學細學類,學習與媒材設計學系課程與教學碩士在職專班,N 職,M 碩士,87,13,74,2,23,3,25,3,15,3,7,2,4,-,-,-,-,-,-
01115,課程與教學細學類,學習與媒材設計學系課程與教學碩士班,D 日,M 碩士,41,4,37,1,10,1,10,-,5,1,7,-,4,1,1,-,-,-,-
01115,課程與教學細學類,學習與媒材設計學系課程與教學碩士學位班,N 職,M 碩士,4,-,4,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,-
01116,教育科技細學類,教育科技學系,D 日,M 碩士,26,8,18,4,10,3,7,1,-,-,1,-,-,-,-,-,-,-,-
01116,教育科技細學類,教育科技學系,D 日,B 學士,469,162,307,46,65,35,88,40,74,33,73,-,-,-,-,-,-,8,7
01116,教育科技細學類,教育科技學系,N 職,M 碩士,9,3,6,-,-,-,-,-,1,2,-,1,2,-,3,-,-,-,-
01116,教育科技細學類,教育科技學系數位學習碩士在職專班,N 職,M 碩士,58,18,40,6,20,8,12,-,2,1,2,3,2,-,2,-,-,-,-
01116,教育科技細學類,教學專業發展數位學習碩士在職專班,N 職,M 碩士,85,14,71,6,25,5,26,3,13,-,7,-,-,-,-,-,-,-,-
01116,教育科技細學類,資訊教育研究所,D 日,D 博士,24,9,15,1,4,2,1,3,1,1,4,1,3,1,-,-,2,-,-
01116,教育科技細學類,資訊教育研究所,D 日,M 碩士,61,22,39,10,16,7,11,4,8,1,4,-,-,-,-,-,-,-,-
01116,教育科技細學類,數位學習設計與管理學系,D 日,M 碩士,19,6,13,3,5,3,2,-,4,-,2,-,-,-,-,-,-,-,-
01116,教育科技細學類,數位學習設計與管理學系,D 日,B 學士,183,88,95,24,22,25,19,19,27,19,26,-,-,-,-,-,-,1,1
01116,教育科技細學類,數位學習與教育研究所,D 日,D 博士,36,19,17,6,3,6,8,4,4,-,-,2,-,1,2,-,-,-,-
01116,教育科技細學類,數位學習與教育研究所,D 日,M 碩士,68,18,50,10,31,4,9,3,7,1,3,-,-,-,-,-,-,-,-
